salario,educacion,experiencia,sexo,casado,dependientes
3.0999999046325684,11,2,Femenino,soltero,2
3.240000009536743,12,22,Femenino,casado,3
3.0,11,2,Masculino,soltero,2
6.0,8,44,Masculino,casado,0
5.300000190734863,12,7,Masculino,casado,1
8.75,16,9,Masculino,casado,0
11.25,18,15,Masculino,soltero,0
5.0,12,5,Femenino,soltero,0
3.5999999046325684,12,26,Femenino,soltero,2
18.18000030517578,17,22,Masculino,casado,0
6.25,16,8,Femenino,soltero,0
8.130000114440918,13,3,Femenino,soltero,0
8.770000457763672,12,15,Masculino,casado,2
5.5,12,18,Masculino,soltero,0
22.200000762939453,12,31,Masculino,casado,1
17.329999923706055,16,14,Masculino,casado,1
7.5,12,10,Femenino,casado,0
10.630000114440918,13,16,Femenino,soltero,0
3.5999999046325684,12,13,Femenino,casado,3
4.5,12,36,Femenino,casado,0
6.880000114440918,12,11,Femenino,soltero,0
8.479999542236328,12,29,Masculino,casado,3
6.329999923706055,16,9,Femenino,soltero,0
0.5299999713897705,12,3,Femenino,soltero,0
6.0,11,37,Femenino,soltero,0
9.5600004196167,16,3,Masculino,casado,1
7.78000020980835,16,11,Masculino,casado,1
12.5,16,31,Masculino,casado,0
12.5,15,30,Masculino,casado,2
3.25,8,9,Femenino,casado,2
13.0,14,23,Masculino,casado,2
4.5,14,2,Femenino,soltero,2
9.68000030517578,13,16,Femenino,soltero,0
5.0,12,7,Femenino,soltero,0
4.679999828338623,12,3,Femenino,soltero,0
4.269999980926514,16,22,Femenino,casado,1
6.150000095367432,12,15,Femenino,casado,1
3.509999990463257,4,39,Masculino,casado,5
3.0,14,3,Femenino,casado,0
6.25,12,11,Femenino,soltero,0
7.809999942779541,12,3,Femenino,casado,0
10.0,12,20,Femenino,casado,4
4.5,14,16,Femenino,casado,1
4.0,11,45,Femenino,casado,0
6.380000114440918,13,11,Femenino,soltero,0
13.699999809265137,15,20,Masculino,casado,2
1.6699999570846558,10,1,Masculino,soltero,1
2.930000066757202,12,36,Femenino,casado,1
3.650000095367432,14,9,Masculino,soltero,0
2.900000095367432,12,15,Femenino,casado,2
1.6299999952316284,12,18,Femenino,soltero,2
8.600000381469727,16,3,Femenino,soltero,0
5.0,12,15,Masculino,casado,1
6.0,12,7,Masculino,casado,0
2.5,12,2,Masculino,soltero,2
3.25,15,3,Masculino,soltero,1
3.400000095367432,16,1,Femenino,soltero,1
10.0,8,13,Masculino,soltero,0
21.6299991607666,18,8,Femenino,soltero,0
4.380000114440918,16,7,Masculino,soltero,0
11.710000038146973,13,40,Femenino,soltero,0
12.390000343322754,14,42,Masculino,soltero,0
6.25,10,36,Masculino,soltero,0
3.7100000381469727,10,13,Femenino,soltero,4
7.78000020980835,14,9,Masculino,soltero,0
19.979999542236328,14,26,Masculino,casado,2
6.25,16,7,Femenino,casado,3
10.0,12,25,Masculino,casado,3
5.710000038146973,16,10,Masculino,casado,1
2.0,12,3,Femenino,soltero,4
5.710000038146973,16,3,Femenino,soltero,0
13.079999923706056,17,17,Masculino,casado,3
4.909999847412109,12,17,Masculino,casado,2
2.9100000858306885,12,20,Femenino,casado,2
3.75,12,7,Femenino,casado,0
11.899999618530272,13,24,Masculino,casado,2
4.0,12,28,Femenino,casado,1
3.0999999046325684,12,2,Femenino,soltero,1
8.449999809265137,12,19,Masculino,casado,4
7.139999866485596,18,13,Masculino,casado,2
4.5,9,22,Masculino,casado,4
4.650000095367432,16,3,Masculino,soltero,0
2.900000095367432,10,4,Femenino,soltero,1
6.670000076293945,12,7,Masculino,soltero,0
3.5,12,6,Femenino,soltero,1
3.259999990463257,12,13,Femenino,casado,1
3.25,12,14,Femenino,casado,1
8.0,12,14,Femenino,soltero,1
9.850000381469728,8,40,Masculino,casado,2
7.5,12,11,Masculino,casado,1
5.909999847412109,12,14,Masculino,casado,2
11.760000228881836,14,40,Masculino,casado,0
3.0,12,1,Femenino,soltero,2
4.809999942779541,12,2,Femenino,soltero,0
6.5,12,4,Femenino,soltero,0
4.0,9,19,Femenino,casado,1
3.5,13,1,Masculino,soltero,1
13.15999984741211,12,34,Masculino,casado,0
4.25,14,5,Masculino,casado,2
3.5,12,3,Masculino,soltero,0
5.130000114440918,15,6,Femenino,soltero,0
3.75,12,14,Femenino,casado,3
4.5,12,35,Femenino,casado,0
7.630000114440918,12,8,Femenino,soltero,0
15.0,14,7,Masculino,casado,1
6.849999904632568,15,11,Femenino,casado,2
13.329999923706056,12,14,Masculino,casado,2
6.670000076293945,12,35,Masculino,soltero,0
2.5299999713897705,12,46,Femenino,soltero,0
9.800000190734863,17,7,Masculino,casado,0
3.369999885559082,11,45,Masculino,casado,0
24.979999542236328,18,29,Masculino,casado,0
5.400000095367432,12,6,Masculino,casado,0
6.110000133514404,14,15,Masculino,casado,2
4.199999809265137,14,33,Femenino,casado,0
3.75,10,15,Masculino,soltero,0
3.5,14,5,Femenino,casado,0
3.640000104904175,12,7,Masculino,soltero,0
3.799999952316284,15,6,Masculino,casado,1
3.0,8,33,Femenino,casado,3
5.0,16,2,Femenino,casado,0
4.630000114440918,14,4,Femenino,casado,2
3.0,15,1,Masculino,soltero,0
3.200000047683716,12,29,Femenino,soltero,1
3.910000085830689,18,17,Masculino,casado,2
6.429999828338623,16,17,Femenino,casado,2
5.480000019073486,10,36,Femenino,casado,0
1.5,8,31,Masculino,soltero,0
2.900000095367432,10,23,Femenino,soltero,2
5.0,11,13,Masculino,casado,0
8.920000076293945,18,3,Masculino,casado,0
5.0,15,15,Masculino,soltero,0
3.5199999809265137,12,48,Masculino,casado,0
